Code,Area,Mean £
E09000001,City of London,142000.00
E09000002,Barking and Dagenham,25900.00
E09000003,Barnet,49000.00
E09000004,Bexley,30900.00
E09000005,Brent,32600.00
E09000006,Bromley,43500.00
E09000007,Camden,85000.00
E09000008,Croydon,34200.00
E09000009,Ealing,37000.00
E09000010,Enfield,34600.00
E09000011,Greenwich,37300.00
E09000012,Hackney,40200.00
E09000013,Hammersmith and Fulham,69700.00
E09000014,Haringey,41700.00
E09000015,Harrow,38500.00
E09000016,Havering,33600.00
E09000017,Hillingdon,33900.00
E09000018,Hounslow,38400.00
E09000019,Islington,58900.00
E09000020,Kensington and Chelsea,178000.00
E09000021,Kingston-upon-Thames,45800.00
E09000022,Lambeth,43700.00
E09000023,Lewisham,34500.00
E09000024,Merton,50800.00
E09000025,Newham,27300.00
E09000026,Redbridge,35300.00
E09000027,Richmond-upon-Thames,67300.00
E09000028,Southwark,44200.00
E09000029,Sutton,35400.00
E09000030,Tower Hamlets,45000.00
E09000031,Waltham Forest,29400.00
E09000032,Wandsworth,63600.00
E09000033,Westminster,109000.00
